@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
1016,1412,1714,1468,2,0,0,2.5625,2.5625,1
4431,4306,5075,4997,7,0,0,2.35417,2.35417,1
2045,2328,2501,2497,4,1,0,2.64583,2.64583,1
1626,1846,2208,2046,2,0,0,2.64583,2.64583,1
3741,2903,3286,3493,6,0,0,1.64583,1.64583,1
2744,2970,2970,3083,7,1,0,2.04167,2.04167,1
624,1100,1213,1100,2,1,0,2.21875,2.21875,1
4923,5267,6244,5336,7,0,0,2.26042,2.26042,1
2529,2318,2375,2262,6,0,0,2.25,2.25,1
5826,4730,4907,5671,2,1,1,2.0625,2.0625,1
766,1049,1406,1027,2,0,0,2.02083,2.02083,1
3568,3788,3908,4437,5,0,0,2.07292,2.07292,1
5450,4434,4721,4804,7,0,0,2.35938,2.35938,1
7844,7865,8632,7132,4,1,1,2.28125,2.28125,1
8965,9317,8856,9263,5,1,1,2.34375,2.34375,1
4741,4741,5818,5214,6,0,0,2.3125,2.3125,1
5543,3187,4546,4806,1,0,0,2.27083,2.27083,1
2323,2493,2606,2662,2,1,0,2.27083,2.27083,1
839,2930,2512,2512,1,0,0,2.125,2.125,1
6062,6285,8228,6787,5,0,0,1.91667,1.91667,1
2056,3905,3729,4215,5,1,1,2.27083,2.27083,1
1356,3238,3029,3029,2,1,0,1.9375,1.9375,1
6667,6199,7933,7520,5,0,0,1.45833,1.45833,0
2217,3950,3890,3903,1,0,0,1.375,1.375,1
587,2661,3356,2772,6,0,0,1.78125,1.78125,0
13925,13091,14939,14144,7,0,0,1.5,1.5,1
1788,3954,4163,3895,6,0,0,1.67708,1.67708,1
28295,11344,13659,11181,7,1,1,1.36458,1.36458,1
1172,3775,3425,3216,1,0,0,1.4375,1.4375,1
3274,5995,6635,5706,1,0,0,1.35417,1.35417,1
6400,7332,8375,8073,6,0,0,1.5625,1.5625,1
4598,4639,5324,5435,7,1,0,1.60417,1.60417,1
5944,8333,7294,8664,5,1,1,1.97917,1.97917,1
4092,6432,5595,5177,2,1,0,1.88542,1.88542,1
4604,5647,5704,4914,2,0,0,1.82292,1.82292,1
2256,4502,4892,4886,2,0,0,1.53125,1.53125,1
957,4312,5505,4352,1,0,0,1.78125,1.78125,1
4411,6890,6615,6615,1,0,0,1.875,1.875,1
2204,4345,4587,4037,1,1,0,1.91667,1.91667,1
1523,3957,3635,3635,2,1,0,1.91667,1.91667,1
5844,5487,6119,6621,0,0,0,0.958333,0.958333,0
2378,4725,4582,4306,7,1,1,1.1875,1.1875,1
685,3079,3079,2804,5,1,1,1.34375,1.34375,1
7776,11700,11966,11415,4,0,0,1.6875,1.6875,1
2218,4648,4097,3822,0,0,0,1.66667,1.66667,1
23827,8759,10963,9182,7,1,1,1.38542,1.38542,1
923,4263,3710,3288,5,1,0,1.29167,1.29167,1
2955,5525,6263,6820,1,0,0,1.22917,1.22917,0
7233,9550,12259,11203,2,1,1,1.71875,1.71875,1
5776,5973,7980,5955,7,0,0,1.70833,1.70833,1
4500,5812,5812,5537,5,1,1,1.85417,1.85417,1
4724,7153,8399,7296,2,1,1,1.86458,1.86458,1
4135,5990,6584,5740,7,0,0,1.32292,1.32292,0
2043,4522,4247,3676,2,0,0,0.96875,0.96875,1
1368,8353,10021,10497,0,0,0,1.90625,1.90625,0
4025,13549,12221,13622,0,1,1,1.41667,1.41667,1
2107,13287,7678,7678,1,1,1,1.85417,1.85417,1
1779,12923,7850,7850,2,1,1,1.91667,1.91667,1
3301,9580,8884,8884,0,1,1,0.958333,0.958333,0
1742,8717,8021,7325,0,1,1,1.20833,1.20833,0
1357,8196,6905,6905,0,1,1,1.20312,1.20312,0
7870,15867,14627,16070,0,1,1,1.1875,1.1875,0
1449,9085,8562,7866,0,1,1,1.30208,1.30208,0
10873,14703,15944,16002,2,1,1,1.17708,1.17708,1
1485,9639,8945,8945,6,1,1,1.07292,1.07292,1
3182,11740,10235,11628,1,1,1,0.833333,0.833333,1
10046,16027,17420,17420,0,1,1,0.984375,0.984375,0
1919,13441,10706,9954,0,1,1,0.760417,0.760417,1
4630,10665,10897,10897,5,1,1,1.30208,1.30208,1
2413,9372,9193,9235,2,1,1,1.5625,1.5625,1
4015,9969,11253,11381,0,1,1,1.35417,1.35417,0
2375,12889,8796,8100,0,1,1,1.17708,1.17708,0
787,10469,6499,6499,0,1,1,1.125,1.125,0
5145,14823,10805,10109,0,1,1,1.08333,1.08333,1
2049,10315,8227,8227,6,1,1,1.39583,1.39583,1
1709,9383,7990,7990,2,1,1,1.35417,1.35417,1
4228,14006,10585,10585,0,1,1,0.333333,0.333333,0
2588,10259,8878,8182,0,0,0,0.854167,0.854167,0
714,8723,7621,7621,0,1,1,0.640625,0.640625,0
6509,17515,15827,16862,0,0,0,1.01042,1.01042,0
2254,9935,8604,8604,0,1,1,1.0625,1.0625,0
5698,15218,15424,17461,0,1,1,0.927083,0.927083,1
1294,10401,7921,7921,6,1,1,0.666667,0.666667,1
3391,10202,11629,11875,0,1,1,0.541667,0.541667,0
5970,16804,16540,16246,0,1,1,0.640625,0.640625,0
