@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
2757,2983,3107,3019,7,0,0,1.6875,0.6875,1
3335,4017,3883,3883,0,0,0,1.6875,0.6875,0
7687,7925,8139,8415,0,1,1,1.6875,0.6875,1
5359,5861,6154,6008,0,1,1,2.41667,1.41667,0
2746,2118,2958,2690,7,1,0,2.41667,1.41667,1
2142,2651,2595,2595,6,0,0,2.41667,1.41667,1
9178,9461,10875,9404,7,0,0,2.70833,1.70833,1
8204,5301,5810,4301,7,0,0,2.70833,1.70833,1
8441,5667,6842,6601,0,0,0,2.70833,1.70833,1
7631,6104,7523,7160,6,0,0,2.39583,1.39583,1
3449,2713,3711,3677,4,0,0,2.89583,1.89583,1
9159,9403,10403,8589,2,0,0,2.89583,1.89583,1
2875,3044,3554,3497,6,0,0,2.3125,1.3125,0
4422,3378,4147,3715,2,0,0,2.3125,1.3125,1
1629,1970,2082,2400,6,1,0,2.3125,1.3125,0
7737,4792,4920,5120,2,1,0,2.3125,1.3125,1
4111,4321,4676,4620,4,0,0,1.47917,0.479167,1
2127,2579,2699,2567,6,0,0,1.47917,0.479167,1
1948,2525,2554,3155,1,0,0,2.5625,1.5625,1
6627,7282,7248,8888,4,0,0,2.46875,1.46875,1
8182,11529,10764,13740,7,0,0,2.46875,1.46875,1
6461,5729,6819,6582,2,1,0,2.52083,1.52083,1
12162,9805,10340,9823,2,1,1,2.52083,1.52083,1
5719,3426,4227,3775,7,1,0,2.52083,1.52083,1
4830,5396,5312,5548,7,1,1,2.52083,1.52083,1
3321,1935,2387,2433,7,0,0,2.57292,1.57292,1
4266,3282,5201,4668,7,1,0,2.38542,1.38542,1
5369,4606,4747,2773,5,0,0,2.38542,1.38542,1
2320,3072,2885,2829,6,0,0,1.8875,0.8875,1
2556,3292,2952,2896,6,0,0,1.8875,0.8875,1
1363,1880,1477,1751,5,1,0,2.75,1.75,1
967,2053,1096,1266,0,0,0,2.75,1.75,0
828,1292,1433,1483,1,1,0,2.75,1.75,1
6863,5247,5866,4933,5,0,0,2.36458,1.36458,1
2320,2356,2331,2644,6,0,0,2.36458,1.36458,1
1515,1798,1741,1741,2,0,0,2.36458,1.36458,1
901,1240,1183,1183,4,1,0,2.58333,1.58333,1
16771,12054,12703,10616,7,1,0,2.58333,1.58333,1
4718,2809,3522,3302,2,1,0,2.58333,1.58333,1
1331,1449,1967,1411,7,0,0,2.58333,1.58333,1
10215,10011,9890,9799,2,0,0,2.53125,1.53125,1
11330,11689,12278,11849,2,1,1,2.53125,1.53125,1
10502,10221,13392,10535,7,1,0,2.52083,1.52083,1
1895,2065,2121,1804,7,0,0,2.52083,1.52083,1
4325,3608,4649,3688,2,0,0,2.52083,1.52083,1
7480,3840,4441,4166,2,0,0,2.1625,1.1625,1
4212,3307,3855,3525,6,0,0,2.1625,1.1625,1
4800,5026,5026,5017,5,0,0,2.39062,1.39062,1
1268,1388,1551,1762,5,0,0,2.39062,1.39062,1
643,1046,1054,1142,1,1,0,2.45833,1.45833,1
4555,3732,4838,5641,2,0,0,2.3125,1.3125,1
2161,1909,2818,2341,5,0,0,2.3125,1.3125,1
4046,4612,4612,4612,7,0,0,1.9375,0.9375,1
2536,4603,4000,4702,0,0,0,1.90625,0.90625,0
5281,7431,7481,6954,0,1,1,1.90625,0.90625,0
3132,5223,5308,4805,6,0,0,1.90625,0.90625,0
4369,6042,5833,5833,2,1,0,1.90625,0.90625,0
6414,7183,9080,8871,0,1,1,1.89583,0.895833,0
8600,12562,13190,12353,5,0,0,1.89583,0.895833,1
4138,4969,5811,5184,5,1,1,1.89583,0.895833,1
15140,18668,17872,17663,0,1,1,1.89583,0.895833,1
8508,5156,6924,6733,4,1,0,2.54167,1.54167,1
8900,8533,9307,10780,6,1,0,2.54167,1.54167,1
2713,4039,5850,4386,4,1,0,2.54167,1.54167,1
971,3062,3062,2853,0,1,1,2.54167,1.54167,1
15371,13901,13640,14539,7,0,0,2.5625,1.5625,1
14319,10482,11092,13951,6,1,0,2.5625,1.5625,1
17041,7566,9159,9269,7,0,0,2.5625,1.5625,1
2051,4142,4431,3515,5,0,0,2.5625,1.5625,1
5814,7487,7069,6860,1,1,1,2.64583,1.64583,1
2253,3926,3299,3508,6,0,0,2.64583,1.64583,0
15550,17382,18891,16993,7,0,0,2.64583,1.64583,1
13367,5658,8902,11387,5,0,0,2.64583,1.64583,1
3276,6533,7579,7370,4,0,0,1.95833,0.958333,0
3255,4767,4510,4510,6,1,1,1.95833,0.958333,1
15487,22403,15436,21020,5,1,1,1.95833,0.958333,1
20823,12357,12351,15245,1,1,1,1.95833,0.958333,1
6046,6725,8043,6313,0,0,0,1.6875,0.6875,0
3173,4846,5250,4637,6,1,1,1.6875,0.6875,1
8164,9706,11243,8644,5,1,1,2.17188,1.17188,1
11183,7384,7873,8310,4,0,0,2.17188,1.17188,1
1255,3346,3137,3137,4,1,0,2.17188,1.17188,1
1373,3456,3046,3378,6,0,0,2.17708,1.17708,0
4265,5311,6537,5311,7,0,0,2.17708,1.17708,1
4754,5884,6009,8427,1,0,0,2.17708,1.17708,1
13901,12641,24190,14582,2,0,0,2.17708,1.17708,1
11495,8511,9702,7862,7,1,0,2.35417,1.35417,1
2021,3656,3903,3485,2,0,0,2.35417,1.35417,0
2678,4101,4151,4286,1,1,1,2.35417,1.35417,1
1732,2987,3418,2749,2,0,0,2.35417,1.35417,1
913,3126,3213,2795,6,1,1,2.33333,1.33333,1
2422,4312,5037,5153,4,0,0,2.33333,1.33333,0
5503,6293,9346,6548,6,1,1,2.33333,1.33333,1
5192,4954,6034,6447,2,1,0,2.30208,1.30208,1
28343,27377,23848,23579,2,1,0,2.30208,1.30208,1
13394,7390,8680,9907,5,0,0,2.30208,1.30208,1
31545,16151,18183,17824,7,0,0,2.30208,1.30208,1
1692,2418,3365,2813,5,0,0,2.28125,1.28125,0
10357,8398,11270,9507,7,1,0,2.28125,1.28125,1
1240,2495,2913,2896,6,1,0,2.28125,1.28125,0
1652,3325,4352,3658,6,0,0,2.28125,1.28125,1
2656,4956,4833,4574,6,1,1,1.7125,0.7125,1
